NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Streetdance 3D;Streetdance 3D;28.5.2010;31 699;Scanbox Finland Oy;ENGLANTI
Prince of Persia: Sands of Time;Prince of Persia: Sands of Time;19.5.2010;69 116;The Walt Disney Company Nordic;USA
Crazy Heart;Crazy Heart;14.5.2010;6 034;FS Film Oy;USA
Robin Hood;Robin Hood;12.5.2010;89 104;Finnkino Oy;USA
Iron Man 2;Iron Man 2;5.5.2010;72 946;Finnkino Oy;USA
From Paris With Love;From Paris With Love;30.4.2010;3 890;Nordisk Film Theatrical Distribution Oy;RANSKA
The Last Song;The Last Song;30.4.2010;12 519;The Walt Disney Company Nordic;USA
Valhalla Rising;Valhalla Rising;30.4.2010;2 760;Scanbox Finland Oy;TANSKA-UK
Date Night;Date Night;23.4.2010;38 491;FS Film Oy;USA
Faija;Farsan;23.4.2010;9 172;Sandrew Metronome Dist.;RUOTSI
Haikein terveisin;Dear John;23.4.2010;10 474;Nordisk Film Theatrical Distribution Oy;USA
Katseeseen kätketty;El Secreto de sus ojos;23.4.2010;16 177;Sandrew Metronome Dist.;ARGENTIINA-ESPANJA
Karkausvuosi;Leap Year;16.4.2010;7 147;Finnkino Oy;USA-IRLANTI
Kick-Ass;Kick-Ass;16.4.2010;34 570;Nordisk Film Theatrical Distribution Oy;USA-ENGLANTI
Rautaa rajan taa;Rautaa rajan taa;16.4.2010;306;Finnkino Oy;SUOMI
Winx - salaisuuksien linna;Winx club - Il segreto del regno perduto;16.4.2010;10 885;Scanbox Finland Oy;ITALIA
Nowhere Boy;Nowhere Boy;9.4.2010;3 840;Nordisk Film Theatrical Distribution Oy;ENGLANTI
Reindeerspotting;Reindeerspotting;9.4.2010;63 654;Nordisk Film Theatrical Distribution Oy;SUOMI
The Ghost Writer;The Ghost Writer;9.4.2010;26 494;FS Film Oy;RANSKA-SAKSA-UK
Titaanien taistelu;Clash of the Titans;9.4.2010;68 406;Sandrew Metronome Dist.;USA
Yön kirkas tähti;Bright Star;9.4.2010;3 135;Atlantic Film Oy;UK-AUSTRALIA-RANSKA
Aavikon kukka;Desert Flower;2.4.2010;28 360;Future Film;ENGLANTI-SAKSA
Hachiko - Tarina uskollisuudesta;Hachiko: A Dog's Story;2.4.2010;6 047;FS Film Oy;USA
Remember Me;Remember Me;2.4.2010;29 855;Nordisk Film Theatrical Distribution Oy;USA
Viimeinen asema;The Last Station;2.4.2010;2 990;The Walt Disney Company Nordic;ENGLANTI-SAKSA
Rahalla saa;Snabba Cash;1.4.2010;13 798;Bio Rex Cinemas;RUOTSI
Exän jäljillä;Bounty Hunter;26.3.2010;39 819;The Walt Disney Company Nordic;USA
Fantastic Mr Fox;Fantastic Mr Fox;26.3.2010;1 323;FS Film Oy;USA-ENGLANTI
Miesten vuoro;Miesten vuoro;26.3.2010;49 911;Nordisk Film Theatrical Distribution Oy;SUOMI
Näin koulutat lohikäärmeesi;How to Train Your Dragon;26.3.2010;44 672;Finnkino Oy;USA
S.O.S – Mustakari;S.O.S – Svartskjaer;25.3.2010;814;Kinoscreen Illusion;NORJA
Brothers;Brothers;19.3.2010;5 233;Future Film;USA
Elämä pelissä;The Blind Side;19.3.2010;12 484;Sandrew Metronome Dist.;USA
Profeetta;Un Prophete;19.3.2010;10 808;The Walt Disney Company Nordic;RANSKA
Tuomari Nurmio stadilaista tangoa etsimässä;Tuomari Nurmio stadilaista tangoa etsimässä;19.3.2010;975;FS Film Oy;SUOMI
An Education;An Education;12.3.2010;2 638;Nordisk Film Theatrical Distribution Oy;ENGLANTI
Freetime Machos;Freetime Machos;12.3.2010;1 911;Pirkanmaan Elokuvakeskus;SUOMI
Green Zone;Green Zone;12.3.2010;21 125;Finnkino Oy;USA
Liisa ihmemaassa;Alice in Wonderland;12.3.2010;305 664;The Walt Disney Company Nordic;USA
Valkoinen nauha;Weisse Band, Das - eine deutsche Kindergeschichte;12.3.2010;4 995;Future Film;ITÄVALTA-SAKSA
A Single Man;A Single Man;5.3.2010;11 851;FS Film Oy;USA
Kohtaamisia;Kohtaamisia;5.3.2010;29 381;Nordisk Film Theatrical Distribution Oy;SUOMI
Oma taivas;The Lovely Bones;5.3.2010;12 596;Finnkino Oy;USA
Precious;Precious: Based on the Novel Push by Sapphire;5.3.2010;27 367;Future Film;USA
I Love You Phillip Morris;I Love You Phillip Morris;26.2.2010;54 329;Scanbox Finland Oy;USA
Prinsessa Mononoke;Mononoke hime;26.2.2010;9 850;Cinema Mondo Oy;JAPANI
Sukunsa viimeinen;Pudana – Last of the Line;26.2.2010;1 536;Pirkanmaan Elokuvakeskus;SUOMI
Vuohia tuijottavat miehet;The Men Who Stare at Goats;26.2.2010;28 417;Sandrew Metronome Dist.;USA
Flickan;Flickan;19.2.2010;812;Scanbox Finland Oy;RUOTSI
Kotkanpyytäjän poika;Eagle Hunter's Son;19.2.2010;856;Kinoscreen Illusion;SAKSA-RUOTSI-TANSKA
Nine;Nine;19.2.2010;9 665;Future Film;USA
Prinsessa ja sammakko;The Princess and the Frog;19.2.2010;97 688;The Walt Disney Company Nordic;USA
Shutter Island;Shutter Island;19.2.2010;91 411;Finnkino Oy;USA
Auf Wiedersehen Finnland;Auf Wiedersehen Finnland;12.2.2010;4 220;SUOMEN Elokuvakontakti R;SUOMI
Percy Jackson salamavaras;Percy Jackson - The Olympians Lightning Thief;12.2.2010;36 807;FS Film Oy;USA
Risto Räppääjä ja polkupyörävaras;Risto Räppääjä ja polkupyörävaras;12.2.2010;327 638;Nordisk Film Theatrical Distribution Oy;SUOMI
Valentine's Day;Valentine's Day;12.2.2010;69 807;Sandrew Metronome Dist.;USA
Wolfman;Wolfman;12.2.2010;24 113;Finnkino Oy;USA
Hassut hurjat hirviöt;Where the Wild Things Are;8.2.2010;9 027;Sandrew Metronome Dist.;USA
Ninja Assassin;Ninja Assassin;8.2.2010;2 644;Sandrew Metronome Dist.;USA-SAKSA
Avio-onnea Morganeiden tapaan;Did You Hear About The Morgans;5.2.2010;20 249;The Walt Disney Company Nordic;USA
Invictus - voittamaton;Invictus;5.2.2010;6 910;Sandrew Metronome Dist.;USA
Paha perhe;Paha perhe;29.1.2010;15 837;Sandrew Metronome Dist.;SUOMI
Roman Polanski: Wanted And Desired;Roman Polanski: Wanted And Desired;29.1.2010;610;Cinema Mondo Oy;USA-ENGLANTI
Up in the Air;Up in the Air;29.1.2010;33 140;Finnkino Oy;USA
Daybreakers;Daybreakers;22.1.2010;4 344;Nordisk Film Theatrical Distribution Oy;USA
Pimeyden ytimessä;Edge of Darkness;22.1.2010;10 307;Nordisk Film Theatrical Distribution Oy;ENGLANTI-USA
Sherlock Holmes;Sherlock Holmes;22.1.2010;139 808;Sandrew Metronome Dist.;USA
Paha poliisi - määräsatama New Orleans;Bad Lieutenant: Port of Call - New Orleans;15.1.2010;5 019;Sandrew Metronome Dist.;USA
Poutapilviä ja lihapullakuuroja;Cloudy With A Chance of Meatballs;15.1.2010;37 019;The Walt Disney Company Nordic;USA
The Box;The Box;15.1.2010;3 736;Future Film;USA
Zombieland;Zombieland;15.1.2010;10 267;The Walt Disney Company Nordic;USA
Jos rakastat;Jos rakastat;8.1.2010;85 562;FS Film Oy;SUOMI
Linan yökirja;Linas kvällsbok;8.1.2010;479;Kinoscreen Illusion;RUOTSI
Tarinoita kulta-ajalta;Amintiri din epoca de aur;8.1.2010;1 852;Cinema Mondo Oy;ROMANIA
Pilvilinna joka romahti;Luftslottet som sprängdes;1.1.2010;61 872;Nordisk Film Theatrical Distribution Oy;RUOTSI-TANSKA
Planeetta 51;Planet 51;1.1.2010;24 396;Scanbox Finland Oy;USA
Alvin ja pikkuoravat 2;Alvin and the Chipmunks: The Squeakquel;25.12.2009;129 256;FS Film Oy;USA
Hierro - salaisuuksien saari;Hierro;25.12.2009;8 115;Cinema Mondo Oy;ESPANJA
Pientä säätöä;It's Complicated;25.12.2009;84 991;Finnkino Oy;USA
The Imaginarium of Dr. Parnassus;The Imaginarium of Dr. Parnassus;25.12.2009;22 155;The Walt Disney Company Nordic;ENGLANTI
Tie;The Road;25.12.2009;19 081;Scanbox Finland Oy;USA
Avatar;Avatar;18.12.2009;418 939;FS Film Oy;USA
Kattona tähtitaivas;I taket lyser stjärnorna;18.12.2009;2 561;Bio Rex Cinemas;RUOTSI
Havukka-ahon ajattelija;Havukka-ahon ajattelija;15.12.2009;222 797;Nordisk Film Theatrical Distribution Oy;SUOMI
Hääkuvaaja;Bröllopsfotografen;11.12.2009;8 815;Sandrew Metronome Dist.;RUOTSI
Lainkuuliainen kansalainen;Law Abiding Citizen;11.12.2009;13 485;Future Film;USA
Mitä meistä tuli;Mitä meistä tuli;11.12.2009;5 423;Black Lion Independent;SUOMI
Planeettamme Maa;Earth;11.12.2009;12 796;Future Film;ENGLANTI-SAKSA
A Serious Man;A Serious Man;4.12.2009;20 391;FS Film Oy;USA
Arthur ja Maltazard;Arthur et la vengeance de Maltazard;4.12.2009;15 305;Scanbox Finland Oy;RANSKA
Täällä Pohjantähden alla;Täällä Pohjantähden alla;4.12.2009;166 265;The Walt Disney Company Nordic;SUOMI
Capitalism: A Love Story;Capitalism: A Love Story;27.11.2009;2 800;FS Film Oy;USA
Konsertti;Le Concert;27.11.2009;12 630;Cinema Mondo Oy;RANSKA
Lomaterapiaa;Couples Retreat;27.11.2009;53 098;Finnkino Oy;USA
The Hurt Locker;The Hurt Locker;27.11.2009;9 194;Nordisk Film Theatrical Distribution Oy;USA
Séraphine;Séraphine;20.11.2009;10 395;Cinema Mondo Oy;RANSKA
Thomas;Thomas;20.11.2009;899;Pirkanmaan Elokuvakeskus;SUOMI
Twilight - Uusikuu;The Twilight Saga: New Moon;20.11.2009;207 752;Nordisk Film Theatrical Distribution Oy;USA
Looking for Eric;Looking for Eric;13.11.2009;3 162;FS Film Oy;ENGLANTI
Paranormal Activity;Paranormal Activity;13.11.2009;33 813;FS Film Oy;USA
The Yes Men Fix the World;The Yes Men Fix the World;13.11.2009;862;Bio Rex Cinemas;RANSKA-ENGLANTI
2012;2012;13.11.2009;121 444;The Walt Disney Company Nordic;USA
Bitch Slap;Bitch Slap;6.11.2009;2 586;Scanbox Finland Oy;USA
Coco Avant Chanel;Coco Avant Chanel;6.11.2009;26 743;FS Film Oy;RANSKA
Ottolapsi;Orphan;6.11.2009;5 376;Sandrew Metronome Dist.;USA
Saiturin joulu;Disney's A Christmas Carol;6.11.2009;62 423;The Walt Disney Company Nordic;USA
Ei nimeä;Sin nombre;30.10.2009;4 922;Sandrew Metronome Dist.;MEKSIKO-USA
Saw VI;Saw VI;30.10.2009;3 291;Scanbox Finland Oy;USA
500 Days of Summer;500 Days of Summer;30.10.2009;24 924;FS Film Oy;USA
9;9;30.10.2009;3 400;Sandrew Metronome Dist.;USA
Michael Jackson's This is it;Michael Jackson's This is it;28.10.2009;57 558;The Walt Disney Company Nordic;USA
Ilmiantaja!;The Informant!;23.10.2009;17 085;Sandrew Metronome Dist.;USA
Pihalla;Pihalla;23.10.2009;13 599;Sandrew Metronome Dist.;SUOMI-SAKSA
The Final Destination 3D;The Final Destination 3D;23.10.2009;10 603;FS Film Oy;USA
Whatever Works;Whatever Works;23.10.2009;11 232;FS Film Oy;USA
Fame;Fame;16.10.2009;68 013;Sandrew Metronome Dist.;USA
Magneettimies;Magneettimies;16.10.2009;1 575;Pirkanmaan Elokuvakeskus;SUOMI
Naisen kivitys;Stoning Of Soraya M.;16.10.2009;2 005;Scanbox Finland Oy;USA
The Cove - meren salaisuus;The Cove;9.10.2009;2 975;Cinema Mondo Oy;USA
Väärät juuret;Väärät juuret;9.10.2009;6 519;The Walt Disney Company Nordic;SUOMI
Julie & Julia;Julie & Julia;2.10.2009;49 200;The Walt Disney Company Nordic;USA
Kohti uutta;Away We Go;2.10.2009;10 640;FS Film Oy;USA-ENGLANTI
Land of the Lost;Land of the Lost;2.10.2009;3 902;Finnkino Oy;USA
Ponyo rantakalliolla;Gake no ue no ponyo;2.10.2009;36 733;Cinema Mondo Oy;JAPANI
Surrogates - sijaisrobotit;Surrogates;2.10.2009;18 625;The Walt Disney Company Nordic;USA
Up - kohti korkeuksia;Up;2.10.2009;224 156;The Walt Disney Company Nordic;USA
Kuulustelu;Kuulustelu;25.9.2009;11 728;The Walt Disney Company Nordic;SUOMI
Tyttö joka leikki tulella;Flickan som lekte med elden;18.9.2009;77 124;Nordisk Film Theatrical Distribution Oy;RUOTSI
Chéri;Chéri;11.9.2009;4 779;Nordisk Film Theatrical Distribution Oy;ENGLANTI
G-Force - miniagentit;G-Force;11.9.2009;80 110;The Walt Disney Company Nordic;USA
Kansakunnan olohuone;Kansakunnan olohuone;11.9.2009;368;Pirkanmaan Elokuvakeskus;SUOMI
Taking Woodstock;Taking Woodstock;11.9.2009;2 880;FS Film Oy;USA
The Ugly Truth;The Ugly Truth;11.9.2009;40 269;The Walt Disney Company Nordic;USA
Gamer;Gamer;4.9.2009;8 152;Future Film;USA
Kunniattomat paskiaiset;Inglourious Bastards;4.9.2009;182 085;Finnkino Oy;USA
Skavabölen pojat;Skavabölen pojat;4.9.2009;46 059;FS Film Oy;SUOMI
District 9;District 9;28.8.2009;31 561;FS Film Oy;USA
G.I. Joe: The Rise of Cobra;G.I. Joe: The Rise of Cobra;28.8.2009;16 688;Finnkino Oy;USA
Limits of Control;The Limits of Control;28.8.2009;2 273;Nordisk Film Theatrical Distribution Oy;USA
Viiru ja Pesonen - muisti pätkii;Pettson & Findus - glömligheter;28.8.2009;60 349;FS Film Oy;RUOTSI
Bronson;Bronson;21.8.2009;3 229;Scanbox Finland Oy;ENGLANTI
Coco Chanel & Igor Stravinsky;Coco Chanel & Igor Stravinsky;21.8.2009;25 990;Cinema Mondo Oy;RANSKA
Haarautuvan rakkauden talo;Haarautuvan rakkauden talo;21.8.2009;144 776;FS Film Oy;SUOMI
L.A. Gigolo;Spread;14.8.2009;14 726;Scanbox Finland Oy;USA
Särkyneet syleilyt;Los Abrazos Rotos;14.8.2009;32 580;Sandrew Metronome Dist.;ESPANJA
Kreivitär;The Countess;7.8.2009;2 042;Cinema Mondo Oy;SAKSA-RANSKA
Odottamaton ehdotus;The Proposal;7.8.2009;42 572;The Walt Disney Company Nordic;USA
Public Enemies;Public Enemies;7.8.2009;89 332;Finnkino Oy;USA
Lesbovampyyrien tappajat;Lesbian Vampire Killers;31.7.2009;2 225;Sandrew Metronome Dist.;ENGLANTI
Nuori Victoria;Young Victoria;31.7.2009;13 301;Nordisk Film Theatrical Distribution Oy;ENGLANTI-USA
Pelham 1 2 3 - kaappaus metrossa;Taking of Pelham 123;31.7.2009;19 114;The Walt Disney Company Nordic;USA
The Brothers Bloom;The Brothers Bloom;31.7.2009;1 841;Future Film;USA
Fighting;Fighting;24.7.2009;11 107;Finnkino Oy;USA
Harry Potter ja puoliverinen prinssi;Harry Potter and The Half-Blood Prince;24.7.2009;346 783;Sandrew Metronome Dist.;ENGLANTI-USA
Pelimiehen painajainen;Ghosts of Girlfriends Past;24.7.2009;6 798;FS Film Oy;USA
Year One - kaiken alku;Year One;24.7.2009;21 599;The Walt Disney Company Nordic;USA
Paris 36;Faubourg 36;17.7.2009;874;The Walt Disney Company Nordic;RANSKA
Brüno;Brüno;10.7.2009;117 035;Nordisk Film Theatrical Distribution Oy;USA
Kaiken se kestää;Pour elle;3.7.2009;4 348;Cinema Mondo Oy;RANSKA
Rajattu maa;Crossing Over;3.7.2009;2 289;Nordisk Film Theatrical Distribution Oy;USA
The Haunting in Connecticut;The Haunting in Connecticut;3.7.2009;2 895;Future Film;USA
Ice Age 3: Dinosaurusten aika;Ice Age 3: Dawn of the Dinosaurs;1.7.2009;387 742;FS Film Oy;USA
Drag Me To Hell;Drag Me To Hell;24.6.2009;14 255;Scanbox Finland Oy;USA
Kauhea kankkunen;The Hangover;24.6.2009;111 495;Sandrew Metronome Dist.;USA
Tieto;Knowing;24.6.2009;22 845;Nordisk Film Theatrical Distribution Oy;USA
Transformers: Kaatuneiden kosto;Transformers: Revenge of the Fallen;24.6.2009;76 878;Finnkino Oy;USA
Antichrist;Antichrist;5.6.2009;8 503;Nordisk Film Theatrical Distribution Oy;TANSKA
Coraline ja toinen todellisuus;Coraline;5.6.2009;19 053;Finnkino Oy;USA
17 again;17 again;5.6.2009;27 011;FS Film Oy;USA
My Bloody Valentine 3D;My Bloody Valentine;2.6.2009;10 864;Scanbox Finland Oy;USA
Terminator - pelastus;Terminator - Salvation;2.6.2009;72 890;The Walt Disney Company Nordic;USA
Kaksinaamaista peliä;Duplicity;29.5.2009;9 040;Finnkino Oy;USA
Ostarin superstevari;Observe and Report;29.5.2009;2 861;Sandrew Metronome Dist.;USA
Pingiskingi;Pingpong-kingen;22.5.2009;1 379;Kinoscreen Illusion;RUOTSI
Viimeinen talo vasemmalla;Last House on the Left;22.5.2009;3 146;Finnkino Oy;USA
Night at the Museum 2;Night at the Museum: Battle of the Smithsonian;20.5.2009;64 558;FS Film Oy;USA
Enkelit ja demonit;Angels & Demons;13.5.2009;200 797;The Walt Disney Company Nordic;USA
Jätä se!;He's Just Not That Into You;8.5.2009;35 100;FS Film Oy;USA
Star Trek;Star Trek;8.5.2009;47 827;Finnkino Oy;USA
Hannah Montana, The Movie;Hannah Montana, The Movie;1.5.2009;43 780;The Walt Disney Company Nordic;USA
State of Play;State of Play;1.5.2009;7 018;Finnkino Oy;USA
Täynnä tarmoa;Täynnä tarmoa;1.5.2009;1 389;Bio Rex Cinemas;SUOMI
X-Men Origins: Wolverine;X-Men Origins: Wolverine;1.5.2009;45 493;FS Film Oy;USA
Che - kapinallinen;Che - Part Two;24.4.2009;4 238;Scanbox Finland Oy;USA
Jonas Brothers: The 3D Concert Experience;Jonas Brothers: The 3D Concert Experience;24.4.2009;0;The Walt Disney Company Nordic;USA
Scar 3D;Scar 3D;24.4.2009;7 549;Future Film;USA
Mammutti;Mammoth;17.4.2009;12 493;Sandrew Metronome Dist.;RUOTSI-TANSKA
Merirosvoradio;The Boat That Rocked;17.4.2009;22 502;Finnkino Oy;ENGLANTI
Tuplamorsian;The Accidental Husband;17.4.2009;7 583;Nordisk Film Theatrical Distribution Oy;USA
12 Rounds;12 Rounds;17.4.2009;5 288;FS Film Oy;USA
Fast and Furious;Fast and Furious;10.4.2009;76 063;Finnkino Oy;USA
Kerran vielä Harvey;Last Chance Harvey;10.4.2009;7 464;Future Film;USA
Gran Torino;Gran Torino;3.4.2009;53 556;Sandrew Metronome Dist.;USA
Mustesydän;Inkheart;3.4.2009;9 949;FS Film Oy;ENGLANTI
Möröt vastaan muukalaiset;Monsters vs. Aliens;3.4.2009;107 689;Finnkino Oy;USA
Postia pappi Jaakobille;Postia pappi Jaakobille;3.4.2009;99 481;Nordisk Film Theatrical Distribution Oy;SUOMI
Yacoubian - Talo Kairossa;Omaret yakobean;3.4.2009;457;Scanbox Finland Oy;EGYPTI
Kevytkenkäinen;Easy Virtue;27.3.2009;4 808;FS Film Oy;ENGLANTI
Lukija;The Reader;27.3.2009;30 022;Sandrew Metronome Dist.;USA-SAKSA
Miehet jotka vihaavat naisia;Män som hatar kvinnor;27.3.2009;86 515;Nordisk Film Theatrical Distribution Oy;RUOTSI-TANSKA
Sydämen kuiskaus;Mimi wo sumaseba;27.3.2009;3 023;Cinema Mondo Oy;JAPANI
Marley & Me;Marley & Me;20.3.2009;40 044;FS Film Oy;USA
Toinen jalka haudasta;Toinen jalka haudasta;20.3.2009;12 911;Sandrew Metronome Dist.;SUOMI
Desperon taru;The Tale of Despereaux;13.3.2009;20 611;Finnkino Oy;USA
Iltasatuja;Bedtime Stories;13.3.2009;6 837;The Walt Disney Company Nordic;USA
Slummien miljonääri;Slumdog Millionaire;13.3.2009;188 907;FS Film Oy;ENGLANTI
The Unborn;The Unborn;13.3.2009;10 674;Finnkino Oy;USA
Himoshoppaajan salaiset unelmat;Confessions of a Shopaholic;6.3.2009;49 149;The Walt Disney Company Nordic;USA
Kapteeni Abu Raed;Captain Abu Raed;6.3.2009;1 185;Finnkino Oy;JORDANIA
Laputa - linna taivaalla;Tenku no shiro rapyuta;6.3.2009;6 184;Cinema Mondo Oy;JAPANI
Lasse-Maijan etsivätoimisto - kameleontin kosto;LasseMajas detektivbyrå - Kameleontens hämnd;6.3.2009;1 505;FS Film Oy;RUOTSI
Pride and Glory;Pride and Glory;6.3.2009;3 760;FS Film Oy;USA
Watchmen;Watchmen;6.3.2009;65 476;Finnkino Oy;USA
Che - Part One;Che - Part One;27.2.2009;20 016;Scanbox Finland Oy;USA
Herttuatar;The Duchess;27.2.2009;9 859;Sandrew Metronome Dist.;ENGLANTI
Koirahotelli;Hotel For Dogs;27.2.2009;11 799;Finnkino Oy;USA-SAKSA
Ralliraita;Ralliraita;27.2.2009;59 034;The Walt Disney Company Nordic;SUOMI
The International;The International;27.2.2009;9 467;The Walt Disney Company Nordic;USA
Benjamin Buttonin uskomaton elämä;The Curious Case of Benjamin Button;20.2.2009;90 635;Sandrew Metronome Dist.;USA
Patrik 1,5;Patrik 1,5;20.2.2009;2 880;FS Film Oy;RUOTSI
Uhma;Defiance;20.2.2009;5 175;Scanbox Finland Oy;USA
Waltz With bashir;Vals im Bashir;20.2.2009;5 353;Future Film;ISRAEL
Bolt;Bolt;13.2.2009;161 872;The Walt Disney Company Nordic;USA
Friday the 13th;Friday the 13th;13.2.2009;6 834;Finnkino Oy;USA
Kielletty hedelmä;Kielletty hedelmä;13.2.2009;115 904;Sandrew Metronome Dist.;SUOMI
Vaaleanpunainen pantteri 2;The Pink Panther 2;13.2.2009;31 561;The Walt Disney Company Nordic;USA
Wild Child;Wild Child;13.2.2009;11 166;Finnkino Oy;USA-ENGLANTI-RANSKA
Gomorrah;Gomorrah;6.2.2009;12 529;Cinema Mondo Oy;ITALIA
Milk;Milk;6.2.2009;16 258;FS Film Oy;USA
Morsianten sota;Bride Wars;6.2.2009;18 630;FS Film Oy;USA
Seitsemän elämää;Seven Pounds;6.2.2009;5 275;The Walt Disney Company Nordic;USA
Doubt - epäilys;Doubt;30.1.2009;11 145;The Walt Disney Company Nordic;USA
Muukalainen;Muukalainen;30.1.2009;1 961;Sandrew Metronome Dist.;SUOMI
Operation Valkyria;Valkyrie;30.1.2009;56 728;FS Film Oy;USA-SAKSA
Revolutionary Road;Revolutionary Road;30.1.2009;47 814;Finnkino Oy;USA-ENGLANTI
Frost/Nixon;Frost/Nixon;23.1.2009;3 579;Finnkino Oy;USA-ENGLANTI-RANSKA
Liikkumavara;Liikkumavara;23.1.2009;130;Pirkanmaan Elokuvakeskus;SUOMI
Luokka;Entre les murs;23.1.2009;15 341;Cinema Mondo Oy;RANSKA
Maata meren alla;Maata meren alla;23.1.2009;6 717;Sandrew Metronome Dist.;SUOMI
The Spirit;The Spirit;23.1.2009;9 215;The Walt Disney Company Nordic;USA
Discomadot;Disco ormene;16.1.2009;12 800;FS Film Oy;SAKSA
Poika raidallisessa pyjamassa;The Boy in the Striped Pyjamas;16.1.2009;2 972;The Walt Disney Company Nordic;ENGLANTI
The Wrestler - Painija;The Wrestler;16.1.2009;41 096;Cinema Mondo Oy;USA
Changeling - vaihdokas;Changeling;9.1.2009;25 835;Finnkino Oy;ENGLANTI
Flash of Genius;Flash of Genius;9.1.2009;211;FS Film Oy;USA
Rööperi;Rööperi;9.1.2009;260 020;Nordisk Film Theatrical Distribution Oy;SUOMI
Taken;Taken;9.1.2009;5 274;Scanbox Finland Oy;RANSKA
Kauneuden valta - Elegy;Elegy;2.1.2009;6 110;Future Film;USA
Rock'n Rolla;Rock'n Rolla;2.1.2009;7 679;Sandrew Metronome Dist.;ENGLANTI
Twilight - houkutus;Twilight;2.1.2009;156 135;Nordisk Film Theatrical Distribution Oy;USA
W.;W.;2.1.2009;6 762;Nordisk Film Theatrical Distribution Oy;USA
Australia;Australia;26.12.2008;125 243;FS Film Oy;USA
Beverly Hillsin hienostohauva;Beverly Hills Chihuahua;26.12.2008;21 444;The Walt Disney Company Nordic;USA
Blackout;Blackout;26.12.2008;54 523;FS Film Oy;SUOMI
Kärpäsenä kuuhun;Fly Me to the Moon 3D;26.12.2008;10 741;Nordisk Film Theatrical Distribution Oy;BELGIA
The Women;The Women;26.12.2008;16 380;Nordisk Film Theatrical Distribution Oy;USA
Yes Man;Yes Man;26.12.2008;123 668;Sandrew Metronome Dist.;USA
Marttyyrit;Martyrs;25.12.2008;8 568;Cinema Mondo Oy;RANSKA
Mad Money - Hulluna rahaan;Mad Money;19.12.2008;4 255;Future Film;USA
Zack & Miri puuhaa pornoo;Zack & Miri Make a Porno;19.12.2008;16 227;Nordisk Film Theatrical Distribution Oy;USA
Mimmi lehmä ja varis;Mamma Mu och Kråkan;12.12.2008;44 013;FS Film Oy;RUOTSI
Päivä jona maailma pysähtyi;The day the earth stood still;12.12.2008;37 969;FS Film Oy;USA
Rachel Getting Married;Rachel Getting Married;12.12.2008;4 405;The Walt Disney Company Nordic;USA
Pieniä ihmeitä;Små och stora mirakel;5.12.2008;53;Kinoscreen Illusion;RUOTSI
Putoavia enkeleitä;Putoavia enkeleitä;5.12.2008;37 414;Sandrew Metronome Dist.;SUOMI
Seikkailevat soittimet;Piccolo, Saxo et compagnie;5.12.2008;868;Future Film;RANSKA
Sex Drive;Sex Drive;5.12.2008;6 206;Nordisk Film Theatrical Distribution Oy;USA
The Fall;The Fall;5.12.2008;4 602;Scanbox Finland Oy;INTIA-ENGLANTI-USA
Eräs joulutarina;Un conte de noel;28.11.2008;9 865;Cinema Mondo Oy;RANSKA
The Visitor;The Visitor;28.11.2008;3 421;FS Film Oy;USA
Valheiden verkko;Body of Lies;28.11.2008;14 249;Sandrew Metronome Dist.;USA
Ystävät hämärän jälkeen;Låt den rätte komma in;28.11.2008;5 729;Sandrew Metronome Dist.;RUOTSI
Burn after reading;Burn after reading;21.11.2008;50 491;FS Film Oy;USA
Madagaskar 2;MADAGASCAR: ESCAPE 2 AFRICA;21.11.2008;253 285;Finnkino Oy;USA
Maradona;Maradona by Kusturica;21.11.2008;1 820;Cinema Mondo Oy;RANSKA
Tyttösi sun ja mun;My Best Friend’s Girl;21.11.2008;5 817;Scanbox Finland Oy;USA
Baby Mama;Baby Mama;14.11.2008;398;Finnkino Oy;USA
Blindness;Blindness;14.11.2008;4 227;Sandrew Metronome Dist.;KANADA-BRASILIA
Kolme viisasta miestä;Kolme viisasta miestä;14.11.2008;2 987;FS Film Oy;SUOMI
Filth And Wisdom;Filth And Wisdom;7.11.2008;2 423;Cinema Mondo Oy;ENGLANTI
Ikuistetut hetket;Maria Larssons eviga ögonblick;7.11.2008;17 589;Sandrew Metronome Dist.;RUOTSI-TANSKA-SUOMI
Quantum of Solace;Quantum of Solace;7.11.2008;467 491;The Walt Disney Company Nordic;ENGLANTI
Bangkok Dangerous;Bangkok Dangerous;31.10.2008;5 228;Nordisk Film Theatrical Distribution Oy;USA
Saw V;Saw V;31.10.2008;19 210;Scanbox Finland Oy;USA
Standard Operating Procedure;Standard Operating Procedure;31.10.2008;233;Cinema Mondo Oy;USA
Vicky Cristina Barcelona;Vicky Cristina Barcelona;31.10.2008;92 713;Scanbox Finland Oy;USA-ESPANJA
Baader Meinhof Komplex;Der Baader Meinhof Komplex;24.10.2008;9 655;Nordisk Film Theatrical Distribution Oy;SAKSA
Death Race - kuolonajot;DEATH RACE;24.10.2008;5 858;Finnkino Oy;USA
High School Musical 3: Senior Year;High School Musical 3: Senior Year;24.10.2008;79 119;The Walt Disney Company Nordic;USA
Sauna;Sauna;24.10.2008;21 503;Sandrew Metronome Dist.;SUOMI
