NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Alan Partridge: Kukkona tunkiolla;Alan Partridge: Alpha Papa;27.12.2013;2 266;Future Film;ENGLANTI
Ella ja kaverit 2 - Paterock;Ella ja kaverit 2 - Paterock;27.12.2013;91 983;Snapper Films Distribution;SUOMI
Satavuotias, joka karkasi ikkunasta ja katosi;Hundraåringen som klev ut genom fönstret och ..;27.12.2013;99 323;The Walt Disney Company Nordic;RUOTSI
Vaahteramäen Eemeli ja Iida;Emil och Ida i Lönneberga;27.12.2013;33 360;FS Film Oy;RUOTSI
Walter Mittyn ihmeellinen elämä;The Secret Life of Walter Mitty;27.12.2013;59 250;FS Film Oy;USA
A Late Quartet;A Late Quartet;20.12.2013;15 410;FS Film Oy;USA
Frozen - huurteinen seikkailu;Frozen;20.12.2013;192 092;The Walt Disney Company Nordic;USA
Lasse autolomalla;Sune på bilsemester;20.12.2013;2 514;Bio Rex Cinemas;RUOTSI
Tunnottomat;Insensibles;20.12.2013;4 685;Cinema Mondo Oy;ESPANJA-RANSKA
Walking with Dinosaurs;Walking with Dinosaurs;20.12.2013;24 375;FS Film Oy;USA
Adelen elämä: osat 1 ja 2;La vie d'Adèle - Chapitres 1 et 2;13.12.2013;11 270;Cinema Mondo Oy;RANSKA
Hobitti - Smaugin autioittama maa;The Hobbit: Desolation of Smaug;11.12.2013;447 944;FS Film Oy;USA
Monica Z;Monica Z;8.12.2013;5 898;FS Film Oy;RUOTSI
Ajomies (65min);Ajomies (65min);6.12.2013;393;Pirkanmaan Elokuvakeskus;SUOMI
Ender's Game;Ender's Game;6.12.2013;8 966;The Walt Disney Company Nordic;USA
Me ollaan parhaita;Vi är bäst;6.12.2013;7 162;FS Film Oy;RUOTSI
Isänmaallinen mies;Isänmaallinen mies;4.12.2013;34 044;Future Film;SUOMI
Mafiaperhe;Malavita - The Family;29.11.2013;7 567;Scanbox Finland Oy;USA-RANSKA
Menneisyys;Le passé;29.11.2013;21 103;Cinema Mondo Oy;RANSKA-IRAN
Poutapilviä ja lihapullakuuroja 2;Cloudy with a chance of meatballs 2;29.11.2013;38 696;The Walt Disney Company Nordic;USA
