Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Kouvola;STUDIO 123;Studio 1;Kuusan Kino Ky;136;Kymenlaaksonkatu 1, 45700 Kouvola
Kouvola;STUDIO 123;Studio 2;Kuusan Kino Ky;113;Kymenlaaksonkatu 1, 45700 Kouvola
Kouvola;STUDIO 123;Studio 3;Kuusan Kino Ky;79;Kymenlaaksonkatu 1, 45700 Kouvola
Kristiinankaupunki ;BIO DUX;Bio Dux;Bio Dux;126;Rantakatu 22, 64100 Kristiinankaupunki
Kuhmo;PAJAKKA KINO;Pajakka Kino;?;107;Rajakatu 56, 88900 Kuhmo
Kuhmoinen;KUHMOISTEN ELOKUVAT;Kuhmoisten Elokuvat;Kuhmoisten kunta;152;Toritie 57, 17800 Kuhmoinen
Kuopio;SCALA;Scala 1;Finnkino Oy;308;Ajurinkatu 16, 70100 Kuopio
Kuopio;SCALA;Scala 2;Finnkino Oy;174;Ajurinkatu 16, 70100 Kuopio
Kuopio;SCALA;Scala 3;Finnkino Oy;82;Ajurinkatu 16, 70100 Kuopio
Kuopio;SCALA;Scala 4;Finnkino Oy;82;Ajurinkatu 16, 70100 Kuopio
Kuopio;SCALA;Scala 5;Finnkino Oy;82;Ajurinkatu 16, 70100 Kuopio
Kuopio;SCALA;Scala 6;Finnkino Oy;69;Ajurinkatu 16, 70100 Kuopio
Kuopio;SCALA;Scala 7;Finnkino Oy;69;Ajurinkatu 16, 70100 Kuopio
Kuopio;KUVAKUKKO;Kuvakukko;Kuopion kaupunki;330;Vuorikatu 27, 70100 KUOPIO
Kuopio;KINO MANTTU;Kino Manttu;?;150;Vesitornintie 1, 73300 Nilsiä
Kurikka;KINO;Kino;Kurikan Kino Ky;162;Kankaantie 1, 61300 Kurikka
Kuusamo;KINO KUUSAMOTALO;Kino Kuusamotalo;Tmi Erkki Leskelä;524;Kaarlo Hännisen tie 2, 93600 Kuusamo
Kärkölä;JÄRVELÄN KINO;Järvelän Kino;Järvelän Kino Oy;102;Hähkäniementie 16, 16600 Kärkölä
Kökar;BIO KÖKAR;Bio Kökar;Kökar-Sottunga Biografförening;30;22730 Kökar
Lahti;KUVAPALATSI;Kuvapalatsi Sali 1;Finnkino Oy;354;Vapaudenkatu 13, 15110 Lahti
Lahti;KUVAPALATSI;Kuvapalatsi Sali 2;Finnkino Oy;194;Vapaudenkatu 13, 15110 Lahti
Lahti;KUVAPALATSI;Kuvapalatsi Sali 3;Finnkino Oy;88;Vapaudenkatu 13, 15110 Lahti
Lahti;KUVAPALATSI;Kuvapalatsi Sali 4;Finnkino Oy;88;Vapaudenkatu 13, 15110 Lahti
Lahti;KUVAPALATSI;Kuvapalatsi Sali 5;Finnkino Oy;88;Vapaudenkatu 13, 15110 Lahti
Lahti;KUVAPALATSI;Kuvapalatsi Sali 6;Finnkino Oy;88;Vapaudenkatu 13, 15110 Lahti
Lahti;KINO IIRIS;Kino Iiris;Päijät-Hämeen elokuvakeskus ry;97;Saimaankatu 12, 15140 Lahti
