Tukityyppi nimi;Elokuvan lajityyppi;Tukihak päätöspvm;Esittelijä nimi;Tuenhakijan nimi;Tukihakemuksen kohde;Tukihakakemuksen päätöseur
Tuotantotuki;Dokumenttielokuva;4.2.2014;Elina Kivihalme;Zone2 Pictures Oy;Talvivaara;40 000
Tuotantotuki;Dokumenttielokuva;18.9.2013;Elina Kivihalme;Långfilm Productions Finland Oy;Helsinki Outsiders;25 000
Tuotantotuki;Dokumenttielokuva;29.5.2013;Elina Kivihalme;4KRS films;Savupiippu;35 000
Tuotantotuki;Dokumenttielokuva;29.4.2013;Miia Haavisto;Cine Works Oy;CUBATON (yhteistuotanto);18 000
Tuotantotuki;Dokumenttielokuva;24.4.2013;Elina Kivihalme;Illume Oy;Ekokaupungin synty;52 000
Tuotantotuki;Dokumenttielokuva;24.4.2013;Elina Kivihalme;Kinoproduction Oy;Helsinginkatua pitkin (työnimi);45 000
Tuotantotuki;Dokumenttielokuva;20.3.2013;Elina Kivihalme;Silva Mysterium Oy;Viisi naista ja Itä-Helsinki;65 000
Tuotantotuki;Dokumenttielokuva;20.3.2013;Elina Kivihalme;Klaffi Tuotannot Oy;Cooper's Challenge (kv-yhteistuotanto);22 000
Tuotantotuki;Dokumenttielokuva;12.3.2013;Elina Kivihalme;Reina Juan;Risto Jarva palkinto 2013;5 000
Tuotantotuki;Dokumenttielokuva;5.2.2013;Elina Kivihalme;Of Course My Films;Mesenaatti;63 000
Tuotantotuki;Dokumenttielokuva;24.10.2012;Elina Kivihalme;Illume Oy;Oulu. Elokuva.;65 000
Tuotantotuki;Dokumenttielokuva;19.9.2012;Elina Kivihalme;Ahlgren Harjula Konttinen Oy;Jalkapallomaa;50 000
Tuotantotuki;Dokumenttielokuva;19.9.2012;Elina Kivihalme;napafilms oy;DOXwise;32 170
Tuotantotuki;Dokumenttielokuva;19.9.2012;Elina Kivihalme;Filmimaa Oy;Perukka;30 000
Tuotantotuki;Dokumenttielokuva;19.9.2012;Elina Kivihalme;Filmimaa Oy;Disko;27 000
Tuotantotuki;Dokumenttielokuva;30.5.2012;Elina Kivihalme;For Real Productions FRP Oy;Alppikatu 25;76 000
Tuotantotuki;Dokumenttielokuva;30.5.2012;Elina Kivihalme;Zone2 Pictures Oy;TORI PORTAAT KIRKKO;35 000
Tuotantotuki;Dokumenttielokuva;25.4.2012;Elina Kivihalme;Gateway Films Oy;Tolonen;40 000
Tuotantotuki;Dokumenttielokuva;25.4.2012;Elina Kivihalme;Illume Oy;HKI-VANTAA;65 000
Tuotantotuki;Dokumenttielokuva;25.4.2012;Elina Kivihalme;Videokuu Oy;Voices of the poor;40 000
Tuotantotuki;Dokumenttielokuva;27.3.2012;Elina Kivihalme;Ilokuva, Naukkarinen&Co;Matkamuistoja;19 000
Tuotantotuki;Dokumenttielokuva;17.2.2012;Elina Kivihalme;Askel tuotannot ky;Scene Shifts (ent. Terra Nullius);24 668
Tuotantotuki;Dokumenttielokuva;8.2.2012;Elina Kivihalme;Illume Oy;Sula mahdottomuus;55 000
Tuotantotuki;Dokumenttielokuva;8.2.2012;Elina Kivihalme;RT Documentaries Oy;Nuudelit;48 000
Tuotantotuki;Dokumenttielokuva;7.12.2011;Elina Kivihalme;Kinoproduction Oy;FEDYA - Teuvo Tulio (kv-yhteistuotanto);12 000
Tuotantotuki;Dokumenttielokuva;7.12.2011;Elina Kivihalme;Pohjola-filmi Oy;Kummisetä (työnimi);64 500
Tuotantotuki;Dokumenttielokuva;7.12.2011;Elina Kivihalme;Tuffi Films Oy;Kissanloukku;67 000
Tuotantotuki;Dokumenttielokuva;26.10.2011;Elina Kivihalme;Zerkalo Oy;Rakastan sinua kyyneliin ( ent. Seliger);10 000
Tuotantotuki;Dokumenttielokuva;13.9.2011;Elina Kivihalme;Guerilla Films Oy;Hiljaisen talven lapsi;21 000
Tuotantotuki;Dokumenttielokuva;13.9.2011;Joona Louhivuori;napafilms oy;Tatska (nuorisoraha);43 000
Tuotantotuki;Dokumenttielokuva;27.4.2011;Elina Kivihalme;Filmiryhmä Oy;Frames tell the story;45 000
Tuotantotuki;Dokumenttielokuva;27.4.2011;Elina Kivihalme;Illume Oy;Kaksi elämää Jumalalle;25 000
Tuotantotuki;Dokumenttielokuva;27.4.2011;Elina Kivihalme;Kinosfilmi Avoin Yhtiö;Jäniksenä varkaudessa (ent. Elämää tehtaan piirissä);88 000
Tuotantotuki;Dokumenttielokuva;27.4.2011;Elina Kivihalme;Oktober Oy;Oasis;32 000
Tuotantotuki;Dokumenttielokuva;18.3.2011;Elina Kivihalme;Illume Oy;Sanansaattaja;70 000
Tuotantotuki;Dokumenttielokuva;18.3.2011;Elina Kivihalme;Stormborg Productions Oy;Resan runt Kap Horn;37 000
Tuotantotuki;Dokumenttielokuva;14.3.2011;Miia Haavisto;Elokuvayhtiö Oy Aamu Ab;VOITKO RAKASTAA;26 252
Tuotantotuki;Dokumenttielokuva;8.2.2011;Elina Kivihalme;Bitar Films Oy;JUMALAINEN VALO LEONARDO DA VILHU;30 000
Tuotantotuki;Dokumenttielokuva;8.2.2011;Elina Kivihalme;Långfilm Productions Finland Oy;En rovfågel flyger in;40 000
Tuotantotuki;Dokumenttielokuva;8.2.2011;Elina Kivihalme;Of Course My Films;HAVAHTUMINEN;47 100
Tuotantotuki;Dokumenttielokuva;14.12.2010;Miia Haavisto;Katharsis Films Oy;TAGIKAKS;33 500
Tuotantotuki;Dokumenttielokuva;8.12.2010;Miia Haavisto;Bitar Films Oy;TAIKAVOIMA;19 728
Tuotantotuki;Dokumenttielokuva;8.12.2010;Miia Haavisto;Avanton Productions Oy;KUKAAN EI USKALLA MUISTAA (kv-yhteistuotanto);25 000
Tuotantotuki;Dokumenttielokuva;8.12.2010;Miia Haavisto;Kristalli-Filmi Oy;KODITON KOTI;58 000
Tuotantotuki;Dokumenttielokuva;8.12.2010;Miia Haavisto;Jaakko Ilkka productions Oy;SUOMEN EPÄVIRALLINEN LINJA;65 000
Tuotantotuki;Dokumenttielokuva;8.12.2010;Miia Haavisto;Nordic Film Pool Oy Ltd;Sydämeni taakka (ent. the Good Survivor);17 500
Tuotantotuki;Dokumenttielokuva;8.12.2010;Miia Haavisto;Sputnik Oy;BARZAKH;25 000
Tuotantotuki;Dokumenttielokuva;7.12.2010;Miia Haavisto;Filmitakomo Oy;OSCAR MEKSIKOSSA;16 500
Tuotantotuki;Dokumenttielokuva;24.9.2010;Miia Haavisto;Muutama Metri Ky;RUDOLF KOIVU (työnimi);14 814
Tuotantotuki;Dokumenttielokuva;15.9.2010;Miia Haavisto;Aito Media Oy;PALUU BAGDADIIN (ent. Irakin presidentti);35 000
Tuotantotuki;Dokumenttielokuva;13.9.2010;Miia Haavisto;Klaffi Tuotannot Oy;Jälki elämässä (ent. Painajainen);55 000
Tuotantotuki;Dokumenttielokuva;19.8.2010;Miia Haavisto;Avanton Productions Oy;KERJÄLÄISEN LAULU;73 500
Tuotantotuki;Dokumenttielokuva;30.6.2010;Miia Haavisto;Giron Filmi Oy;YKSITOISTA IHMISEN KUVAA;52 000
Tuotantotuki;Dokumenttielokuva;8.6.2010;Miia Haavisto;Kinosto Oy;TUNTEMATON EMÄNTÄ;25 000
Tuotantotuki;Dokumenttielokuva;19.4.2010;Miia Haavisto;Bronson Club Oy;REINDEERSPOTTING - PAKO JOULUMAASTA;50 000
Tuotantotuki;Dokumenttielokuva;15.4.2010;Miia Haavisto;For Real Productions FRP Oy;SANTRA (elvytys);35 000
Tuotantotuki;Dokumenttielokuva;31.3.2010;Miia Haavisto;Making Movies - Nordberg & Aho Oy;BELIEVERS (kv-yhteistuotanto);22 000
Tuotantotuki;Dokumenttielokuva;22.3.2010;Miia Haavisto;KINOVID PRODUCTIONS Ky;JAHTI;45 000
Tuotantotuki;Dokumenttielokuva;8.3.2010;Miia Haavisto;Avanton Productions Oy;Katseen raunio (ent. Les Halles) (kv-yhteistuotanto);10 000
Tuotantotuki;Dokumenttielokuva;8.3.2010;Miia Haavisto;Illume Oy;MUURMANNIN LEGIOONA;40 000
Tuotantotuki;Dokumenttielokuva;16.2.2010;Miia Haavisto;For Real Productions FRP Oy;LEIKKIPUISTO;36 000
Tuotantotuki;Dokumenttielokuva;4.1.2010;Miia Haavisto;Mouka Filmi Oy;PITKÄ MIES;32 500
Tuotantotuki;Dokumenttielokuva;29.12.2009;Miia Haavisto;Marianna Films Oy;MAMA AFRIKA(kv-yhteistuotanto);30 000
Tuotantotuki;Dokumenttielokuva;18.12.2009;Miia Haavisto;Nosferatu Oy / Anna von Bagh;NISKANEN (3x60 min.);80 000
Tuotantotuki;Dokumenttielokuva;17.12.2009;Miia Haavisto;NBB Navy Blue Bird Oy;Joulumiehet (ent. Raitis, autoileva);40 000
Tuotantotuki;Dokumenttielokuva;3.12.2009;Miia Haavisto;Saamifilmi Oy;FROZEN DREAMS;20 000
Tuotantotuki;Dokumenttielokuva;30.11.2009;Elina Kivihalme;Helsinki-filmi Oy;MUSTAVALKOIKKUNA;24 505
Tuotantotuki;Dokumenttielokuva;18.11.2009;Miia Haavisto;Guerilla Films Oy;OMAA LUOKKAANSA (ent. Kevät);28 000
Tuotantotuki;Dokumenttielokuva;5.11.2009;Miia Haavisto;Elokuvaosuuskunta Elokas;KASVOT;37 000
Tuotantotuki;Dokumenttielokuva;2.11.2009;Miia Haavisto;Oy GIG Ab;UM-SHMUM;45 000
Tuotantotuki;Dokumenttielokuva;3.9.2009;Miia Haavisto;For Real Productions FRP Oy;AUF WIEDERSEHEN FINNLAND;65 000
Tuotantotuki;Dokumenttielokuva;20.8.2009;Miia Haavisto;Långfilm Productions Finland Oy;KASKÖ (elvytys);30 000
Tuotantotuki;Dokumenttielokuva;10.8.2009;Miia Haavisto;Avanton Productions Oy;Five Star Existence (ent. Wireless World);78 000
Tuotantotuki;Dokumenttielokuva;26.6.2009;Miia Haavisto;Illume Oy;Virtuaalinen sota;65 000
Tuotantotuki;Dokumenttielokuva;25.6.2009;Miia Haavisto;Jaakko Ilkka productions Oy;MACULA (ent. Suuri ja mahtava Neuvostoliitto);50 000
Tuotantotuki;Dokumenttielokuva;25.6.2009;Miia Haavisto;napafilms oy;INT./EXT.;16 700
Tuotantotuki;Dokumenttielokuva;24.6.2009;Miia Haavisto;Illume Oy;TIMANTTIKOIRIEN VUOSI 1984 (elvytys);68 000
Tuotantotuki;Dokumenttielokuva;22.6.2009;Miia Haavisto;Marianna Films Oy;VESKU SUOMESTA;70 000
Tuotantotuki;Dokumenttielokuva;18.6.2009;Miia Haavisto;Filmimaa Oy;ARANDA;67 000
Tuotantotuki;Dokumenttielokuva;18.6.2009;Miia Haavisto;Zone2 Pictures Oy;ONNELLISTEN KAUPUNKI (elvytys);52 000
Tuotantotuki;Dokumenttielokuva;17.6.2009;Miia Haavisto;Aito Media Oy;UUSI KIRKKO;55 000
Tuotantotuki;Dokumenttielokuva;17.6.2009;Miia Haavisto;Vaski Filmi Oy;HILJAA TOIVOTUT;40 000
Tuotantotuki;Dokumenttielokuva;9.6.2009;Miia Haavisto;Guerilla Films Oy;MIEHEN KUVA;41 500
Tuotantotuki;Dokumenttielokuva;2.6.2009;Miia Haavisto;Avanton Productions Oy;KURDISH LOVER (yhteistuotanto);20 000
Tuotantotuki;Dokumenttielokuva;27.5.2009;Miia Haavisto;KINOVID PRODUCTIONS Ky;Autiomaa (ent. Kinnvika - the last Border);74 000
Tuotantotuki;Dokumenttielokuva;25.5.2009;Miia Haavisto;Silva Mysterium Oy;GAUCHO;76 000
Tuotantotuki;Dokumenttielokuva;15.5.2009;Miia Haavisto;Oktober Oy;PURKITETTUJA UNELMIA;102 500
Tuotantotuki;Dokumenttielokuva;26.3.2009;Miia Haavisto;Kinocompany Finland Oy;RIEMURUHTINAAT;20 000
Tuotantotuki;Dokumenttielokuva;18.3.2009;Miia Haavisto;Mouka Filmi Oy;VARPAJAISET (työnimi);4 000
Tuotantotuki;Dokumenttielokuva;11.3.2009;Miia Haavisto;Vartiainen Hannes;Risto Jarva -palkinto 2009;5 000
Tuotantotuki;Dokumenttielokuva;11.3.2009;Miia Haavisto;Veikkolainen Pekka;Risto Jarva -palkinto 2009;5 000
Tuotantotuki;Dokumenttielokuva;27.2.2009;Miia Haavisto;Filmimaa Oy;SALLAN STRATEGIA;66 000
Tuotantotuki;Dokumenttielokuva;20.2.2009;Miia Haavisto;Illume Oy;KONGON AKSELI;27 000
Tuotantotuki;Dokumenttielokuva;1.12.2008;Elina Kivihalme;Mouka Filmi Oy;INTO ETERNITY (kv yhteistuotanto);60 000
Tuotantotuki;Dokumenttielokuva;28.11.2008;Miia Haavisto;Elokuvaosuuskunta Siperia;MUSIIKKIA SEINILLE;65 000
Tuotantotuki;Dokumenttielokuva;12.11.2008;Miia Haavisto;Pohjankonna Oy;HANASAARI A;20 000
Tuotantotuki;Dokumenttielokuva;22.10.2008;Elina Kivihalme;Of Course My Films;GÖRINGIN SAUVA (työnimi);48 500
Tuotantotuki;Dokumenttielokuva;8.10.2008;Miia Haavisto;Zone2 Pictures Oy;LASKETTU AIKA;53 000
Tuotantotuki;Dokumenttielokuva;6.10.2008;Miia Haavisto;Illume Oy;SELVIYTYJÄ;50 000
Tuotantotuki;Dokumenttielokuva;4.9.2008;Elina Kivihalme;Alppiharjun Elokuva Oy;VOLGA, VOLGA;40 000
Tuotantotuki;Dokumenttielokuva;29.8.2008;Elina Kivihalme;Unilumi Oy;JOS MULLA OIS VALTA;37 000
Tuotantotuki;Dokumenttielokuva;19.8.2008;Elina Kivihalme;Oy Millennium Film Ltd;HONGAKU (työnimi);30 000
Tuotantotuki;Dokumenttielokuva;26.6.2008;Elina Kivihalme;Angry-La Visual Design Ky;SMOKKIJUOKSIJAT;30 000
Tuotantotuki;Dokumenttielokuva;11.6.2008;Elina Kivihalme;Kinotar Oy (vanha);PORNOPOJAT;60 000
Tuotantotuki;Dokumenttielokuva;19.5.2008;Elina Kivihalme;Ilokuva, Naukkarinen&Co;ARVOSTETULLA ALUEELLA;30 000
Tuotantotuki;Dokumenttielokuva;9.5.2008;Elina Kivihalme;Illume Oy;JÄÄVUOREN VARJOON;32 000
Tuotantotuki;Dokumenttielokuva;6.5.2008;Elina Kivihalme;Art Films production AFP Oy;MAGNEETTIMIES;55 000
Tuotantotuki;Dokumenttielokuva;25.4.2008;Elina Kivihalme;Illume Oy;HELSINKI, IKUISESTI;25 000
Tuotantotuki;Dokumenttielokuva;25.4.2008;Elina Kivihalme;Kinosfilmi Avoin Yhtiö;JEESUS MEISSÄ - TARINOITA JEESUKSEN KANSSA;45 000
Tuotantotuki;Dokumenttielokuva;23.4.2008;Elina Kivihalme;Making Movies - Nordberg & Aho Oy;ROBINSONS OF MANTSINSAARI;13 000
Tuotantotuki;Dokumenttielokuva;22.4.2008;Elina Kivihalme;MRP Matila Röhr Productions Oy;VIIMEISET VALLANKUMOUKSELLISET;35 000
Tuotantotuki;Dokumenttielokuva;19.3.2008;Elina Kivihalme;Frameworks Production House Oy;HETKIÄ MATKALLA JOSSAIN;30 000
Tuotantotuki;Dokumenttielokuva;17.3.2008;Elina Kivihalme;Luostarinen Kiti;Risto Jarva -palkinto 2008;10 000
Tuotantotuki;Dokumenttielokuva;11.3.2008;Elina Kivihalme;Media Center Kotka Oy;RAKENTAJAT (työnimi);75 000
Tuotantotuki;Dokumenttielokuva;29.2.2008;Elina Kivihalme;Illume Oy;PAIKKA AURINGOSSA;45 000
Tuotantotuki;Dokumenttielokuva;25.2.2008;Elina Kivihalme;Illume Oy;YOUNG FREUD IN GAZA;10 000
Tuotantotuki;Dokumenttielokuva;21.2.2008;Miia Haavisto;NBB Navy Blue Bird Oy;LAPUA (työnimi);28 000
Tuotantotuki;Dokumenttielokuva;20.2.2008;Elina Kivihalme;Elokuvayhtiö Oy Aamu Ab;ERIKOISIA TAPAUKSIA;44 000
Tuotantotuki;Dokumenttielokuva;15.2.2008;Miia Haavisto;Oy Millennium Film Ltd;HONGAKU;90 000
Tuotantotuki;Dokumenttielokuva;5.2.2008;Elina Kivihalme;KINOVID PRODUCTIONS Ky;KATSEEN VANKI;40 000
Tuotantotuki;Dokumenttielokuva;1.2.2008;Elina Kivihalme;Mouka Filmi Oy;KANSAKUNNAN OLOHUONE;42 000
Tuotantotuki;Dokumenttielokuva;28.1.2008;Elina Kivihalme;Road Movies Oy;ALLAHIN NYRKKI;45 000
Tuotantotuki;Dokumenttielokuva;28.1.2008;Elina Kivihalme;Road Movies Oy;YKSIN JUMALA RIITTÄÄ;47 000
Tuotantotuki;Dokumenttielokuva;25.1.2008;Elina Kivihalme;Karlik Films;44500 MAX;50 000
Tuotantotuki;Dokumenttielokuva;23.1.2008;Elina Kivihalme;Kinotar Oy (vanha);SYLISTÄ SYLIIN;35 000
Tuotantotuki;Lyhyt elokuva;19.11.2015;Pekka Uotila;Hattara Films Oy;papulaBOX;22 000
Tuotantotuki;Lyhyt elokuva;20.3.2009;Miia Haavisto;Periferia Productions Oy;GORILLA (Skidisti elokuva);50 000
Tuotantotuki;Dokumenttielokuva;5.2.2015;Elina Kivihalme;Pohjankonna Oy;Yöperhosten salattu maailma (Perhosten salattu maailma);20 000
Tuotantotuki;Dokumenttielokuva;9.12.2013;Elina Kivihalme;Pystymetsä Oy;Sydämestä asti;19 000
Tuotantotuki;Dokumenttielokuva;27.4.2011;Joona Louhivuori;Of Course My Films;Matkustaja;36 000
Tuotantotuki;Dokumenttielokuva;26.3.2009;Miia Haavisto;Kinocompany Finland Oy;PÄIVÄN SANKARI (Skidisti elokuva);50 000
Tuotantotuki;Lyhyt elokuva;23.11.2015;Joona Louhivuori;Parad Media Oy;Tredje dejten (kortfilm);32 883
Tuotantotuki;Lyhyt elokuva;19.11.2015;Pekka Uotila;Lumikinos Production Oy;Cold Storage;23 000
Tuotantotuki;Lyhyt elokuva;19.11.2015;Pekka Uotila;Of Course My Films;Pysähdys;27 000
Tuotantotuki;Lyhyt elokuva;19.11.2015;Pekka Uotila;Tuffi Films Oy;Komitea (kv-yhteistuotanto);25 000
Tuotantotuki;Lyhyt elokuva;5.10.2015;Joona Louhivuori;MJÖLK MOVIES Oy;Miss Zahra (novellielokuva);90 853
Tuotantotuki;Lyhyt elokuva;17.9.2015;Pekka Uotila;Double Back Documentaries Oy;B-filmi (Hetki hauskaa 4);40 000
Tuotantotuki;Lyhyt elokuva;17.9.2015;Pekka Uotila;Filmimaa Oy;Todella kiihottavaa (Hetki hauskaa 4);40 000
Tuotantotuki;Lyhyt elokuva;17.9.2015;Pekka Uotila;Hillstream Pictures Oy;Dijon-juttu (Hetki hauskaa 4);40 000
Tuotantotuki;Lyhyt elokuva;17.9.2015;Pekka Uotila;It´s Alive Films Oy;Fantasia (Hetki hauskaa 4);40 000
Tuotantotuki;Lyhyt elokuva;17.9.2015;Pekka Uotila;Kinocompany Finland Oy;Duschen (kv-yhteistuotanto);20 000
Tuotantotuki;Lyhyt elokuva;17.9.2015;Pekka Uotila;Silva Mysterium Oy;Neliapila (Työnimi);90 000
Tuotantotuki;Lyhyt elokuva;17.9.2015;Pekka Uotila;TACK Films Oy;Kaikki hyvin, Pekka (Hetki hauskaa 4);40 000
Tuotantotuki;Lyhyt elokuva;4.6.2015;Joona Louhivuori;Funny Films Oy;Mausoleum (kv-yhteistuotanto);20 000
Tuotantotuki;Lyhyt elokuva;4.6.2015;Joona Louhivuori;Medeia Oy;Swan Song;11 000
Tuotantotuki;Lyhyt elokuva;2.4.2015;Joona Louhivuori;Making Movies - Nordberg & Aho Oy;Rakastan Annaa;80 000
Tuotantotuki;Lyhyt elokuva;5.2.2015;Joona Louhivuori;Special Film Company Oy;Psykoosi pahenee;50 000
Tuotantotuki;Lyhyt elokuva;15.12.2014;Joona Louhivuori;TACK Films Oy;Fasisti (hetki hauskaa 2);34 907
Tuotantotuki;Lyhyt elokuva;4.12.2014;Joona Louhivuori;Balansia Films Oy;Käty - Kämppä tyhjänä (Hetki hauskaa 3);35 000
Tuotantotuki;Lyhyt elokuva;4.12.2014;Joona Louhivuori;Clutch Productions Oy;Gonthrion;20 000
Tuotantotuki;Lyhyt elokuva;4.12.2014;Joona Louhivuori;Helsinki-filmi Oy;Lasikatto (Hetki hauskaa 3);35 000
Tuotantotuki;Lyhyt elokuva;4.12.2014;Joona Louhivuori;Lumo Films Oy;Mersusta seuraava (Hetki hauskaa 3);35 000
Tuotantotuki;Lyhyt elokuva;4.12.2014;Joona Louhivuori;MJÖLK MOVIES Oy;Pieniä kömpelöitä hellyydenosoituksia (Hetki hauskaa 3);35 000
Tuotantotuki;Lyhyt elokuva;4.12.2014;Joona Louhivuori;Scenes oy;Hyvää joulua (Hetki hauskaa 3);35 000
Tuotantotuki;Lyhyt elokuva;22.10.2014;Joona Louhivuori;Pohjola-filmi Oy;Talvisydän;106 000
Tuotantotuki;Lyhyt elokuva;18.9.2014;Joona Louhivuori;Elokuvatuotantoyhtiö Made Oy;Säälistäjät;70 000
Tuotantotuki;Lyhyt elokuva;18.9.2014;Joona Louhivuori;Oy Studio Lumo Ab;Det går att operera (novellfilm);65 000
Tuotantotuki;Lyhyt elokuva;18.9.2014;Joona Louhivuori;napafilms oy;Beast of Burden (kv-yhteistuotanto);6 000
Tuotantotuki;Lyhyt elokuva;4.6.2014;Joona Louhivuori;Elokuvatuotantoyhtiö Made Oy;Kääntöpaikka;63 000
Tuotantotuki;Lyhyt elokuva;4.6.2014;Joona Louhivuori;Kinoproduction Oy;K 7;70 000
Tuotantotuki;Lyhyt elokuva;4.6.2014;Joona Louhivuori;Långfilm Productions Finland Oy;Om vägar (kortfilm);35 000
Tuotantotuki;Lyhyt elokuva;4.6.2014;Joona Louhivuori;MRP Matila Röhr Productions Oy;Noste;15 000
Tuotantotuki;Lyhyt elokuva;4.6.2014;Joona Louhivuori;napafilms oy;Äiti;51 000
Tuotantotuki;Lyhyt elokuva;2.4.2014;Joona Louhivuori;Of Course My Films;Levyt ja valokuvat (ent. Ekstropia);70 000
Tuotantotuki;Lyhyt elokuva;2.4.2014;Joona Louhivuori;TACK Films Oy;Naisen nimi;65 000
Tuotantotuki;Lyhyt elokuva;18.3.2014;Petri Rossi;KinoFinlandia Oy;KOKO PUU KUVIA TÄYNNÄ;157 500
Tuotantotuki;Lyhyt elokuva;17.3.2014;Joona Louhivuori;Ramezan Hamy;Risto Jarva palkinto 2014;10 000
Tuotantotuki;Lyhyt elokuva;9.12.2013;Joona Louhivuori;It´s Alive Films Oy;Tissit;45 000
Tuotantotuki;Lyhyt elokuva;9.12.2013;Joona Louhivuori;Oy Bufo Ab;Tuolla puolen (ent. Kohtaaminen);127 000
Tuotantotuki;Lyhyt elokuva;9.12.2013;Joona Louhivuori;Silva Mysterium Oy;Perintö (novellielokuva);95 000
Tuotantotuki;Lyhyt elokuva;9.12.2013;Joona Louhivuori;TACK Films Oy;Puuttuminen (novellielokuva);95 000
Tuotantotuki;Lyhyt elokuva;23.10.2013;Joona Louhivuori;Yellow Film & TV Oy;Sininen uni;110 000
Tuotantotuki;Lyhyt elokuva;18.9.2013;Joona Louhivuori;65 Wilding Films;Juhannusyö;16 000
Tuotantotuki;Lyhyt elokuva;18.9.2013;Joona Louhivuori;Periferia Productions Oy;Cyklisten;28 000
Tuotantotuki;Lyhyt elokuva;18.9.2013;Joona Louhivuori;Periferia Productions Oy;Den Bästa Vännen;60 000
Tuotantotuki;Lyhyt elokuva;29.5.2013;Joona Louhivuori;Elokuvayhtiö Oy Aamu Ab;Hevoshullu;28 000
Tuotantotuki;Lyhyt elokuva;29.5.2013;Joona Louhivuori;Filmimaa Oy;Apollo;25 000
Tuotantotuki;Lyhyt elokuva;29.5.2013;Joona Louhivuori;Making Movies - Nordberg & Aho Oy;Omerta;75 000
Tuotantotuki;Lyhyt elokuva;29.5.2013;Joona Louhivuori;New Dawn Oy;Pimeällä polulla;70 000
Tuotantotuki;Lyhyt elokuva;24.4.2013;Joona Louhivuori;Twisted Films Oy;Nightsatan and the Loops of Doom;50 000
Tuotantotuki;Lyhyt elokuva;10.12.2012;Joona Louhivuori;Kinoproduction Oy;DJURENS DAG - ELÄINTEN PÄIVÄ (nuorisoraha);89 043
Tuotantotuki;Lyhyt elokuva;5.12.2012;Joona Louhivuori;MRP Matila Röhr Productions Oy;Hyvä Ihminen (hetki hauskaa 2);35 000
Tuotantotuki;Lyhyt elokuva;5.12.2012;Joona Louhivuori;Kristallisilmä Oy;After Everything - Kaiken jälkeen;80 000
Tuotantotuki;Lyhyt elokuva;5.12.2012;Joona Louhivuori;It´s Alive Productions Oy;Verhon takaa (hetki hauskaa 2);35 000
Tuotantotuki;Lyhyt elokuva;5.12.2012;Joona Louhivuori;For Real Productions FRP Oy;Paratiisin Avaimet;120 000
Tuotantotuki;Lyhyt elokuva;24.10.2012;Joona Louhivuori;Askel tuotannot ky;Conversation Pieces;25 000
Tuotantotuki;Lyhyt elokuva;24.10.2012;Joona Louhivuori;Inland Film Company Oy;Taskuparkki (hetki hauskaa 2);35 000
Tuotantotuki;Lyhyt elokuva;19.9.2012;Joona Louhivuori;Elokuvatuotantoyhtiö Made Oy;Ghost Train (kv-yhteistuotanto);35 350
Tuotantotuki;Lyhyt elokuva;19.9.2012;Joona Louhivuori;Oy Bufo Ab;Eskapistit;8 000
Tuotantotuki;Lyhyt elokuva;19.9.2012;Joona Louhivuori;Making Movies - Nordberg & Aho Oy;Huulilla (ent. Treffit);70 000
Tuotantotuki;Lyhyt elokuva;30.5.2012;Joona Louhivuori;Elokuvayhtiö Oy Aamu Ab;Käsilaukku (novellielokuva);105 000
Tuotantotuki;Lyhyt elokuva;30.5.2012;Joona Louhivuori;Funfar Films Oy;Afrikan tähdet (novellielokuva);105 000
Tuotantotuki;Lyhyt elokuva;30.5.2012;Joona Louhivuori;Otto tuotanto Oy;Jäminkipohja (novellielokuva);105 000
Tuotantotuki;Lyhyt elokuva;13.3.2012;Joona Louhivuori;Pesonen Antti Heikki;Risto Jarva palkinto 2012;10 000
Tuotantotuki;Lyhyt elokuva;7.12.2011;Joona Louhivuori;Mediatehdas Dakar Oy;Kakara (ent. Hockey Night);40 000
Tuotantotuki;Lyhyt elokuva;7.12.2011;Joona Louhivuori;Writer's Block Oy;Musta joulu;45 000
Tuotantotuki;Lyhyt elokuva;26.10.2011;Joona Louhivuori;Funfar Films Oy;Koistiset lennossa (Hetki hauskaa 1);30 000
Tuotantotuki;Lyhyt elokuva;26.10.2011;Joona Louhivuori;Helsinki-filmi Oy;Poliisi selvittää (Hetki hauskaa 1);30 000
Tuotantotuki;Lyhyt elokuva;3.10.2011;Joona Louhivuori;Making Movies - Nordberg & Aho Oy;TSÄGÄATERIA (nuorisoraha);54 400
Tuotantotuki;Lyhyt elokuva;13.9.2011;Joona Louhivuori;Helsinki-filmi Oy;Sano kiitos ja tanssi (Hetki hauskaa 1);30 000
Tuotantotuki;Lyhyt elokuva;13.9.2011;Joona Louhivuori;Pohjola-filmi Oy;Sirocco (ent. Merkki) (nuorisoraha);98 000
Tuotantotuki;Lyhyt elokuva;23.6.2011;Joona Louhivuori;Bronson Club Oy;Uroot (Hetki hauskaa 1);30 000
Tuotantotuki;Lyhyt elokuva;23.6.2011;Joona Louhivuori;Tuffi Films Oy;Pitääkö mun kaikki hoitaa (Hetki hauskaa 1);30 000
Tuotantotuki;Lyhyt elokuva;1.6.2011;Joona Louhivuori;First Floor Productions Oy;Onni ( ent. Kone);53 000
Tuotantotuki;Lyhyt elokuva;9.5.2011;Joona Louhivuori;Inland Film Company Oy;VARIATIONEN (nuorisoraha);35 224
Tuotantotuki;Lyhyt elokuva;27.4.2011;Joona Louhivuori;Making Movies - Nordberg & Aho Oy;Hiljainen viikko (ent. Musta tienpinta kimaltelee (nuorisoraha));120 000
